id,name,team,position,carries,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,outlook
1,Christian McCaffrey,Panthers,RB,233.0,1048.0,9.0,90.0,736.0,3.0,"McCaffrey returns as the feature back in Carolina after a dominant 2019 campaign, when he outscored the next-closest RB by 156 fantasy points. Seriously. McCaffrey was on the field for an astronomical 93% of the offensive snaps, which was just above his 92% mark in 2018. He set a career high with an 80% carry share (17.9 per game) and has now handled 23% of the targets (8.8/G) in three consecutive seasons. McCaffrey paced the position in snaps, touches, yards, touchdowns, OTD, targets, receptions and carries inside the 5. It's possible McCaffrey will play a bit less in new coach Matt Rhule's offense, but the 24-year-old can afford a reduced role and still dominate the position in fantasy. He should be the first player off the board in your draft."
2,Ezekiel Elliott,Cowboys,RB,282.0,1244.0,10.0,57.0,455.0,2.0,"Elliott returns as the clear feature back in Dallas. Since entering the league in 2016, the Ohio State product leads the NFL in carries (1,169) and rushing yards (5,405), and sits second in rushing touchdowns (40). Elliott obviously plays a substantial role as a ball carrier -- and his goal-line work increased last season -- but it was a bit surprising to see his targets fall from 6.3 to 4.4 per game last season. Of course, Elliott's role still allowed him a top-3 finish in touches, yards and fantasy points. The 25-year-old is positioned for a similar role in 2020 behind a strong offensive line and should be off the board in the middle of the first round of drafts."
3,Saquon Barkley,Giants,RB,261.0,1176.0,10.0,57.0,458.0,3.0,"Barkley's 2019 season fell short of lofty expectations, but the 2018 second-overall pick finished strongly and remains an elite fantasy asset. Barkley, who missed three games because of injury, was on the field for 84% of New York's snaps -- about the same as his rookie season (83%) -- when active. His 16.7 carries per game were up slightly from 2018 (16.3), though his targets inexplicably fell from 7.4 to 5.5 per game. Barkley still managed the third-most fantasy points among RBs during his 12 full weeks. We shouldn't count on a big rebound in targets with Jason Garrett running the offense, but Barkley does figure to see more run at the goal line (only seven carries inside the 5 last season). Only Christian McCaffrey is a clear superior fantasy asset to 23-year-old Barkley."
4,Dalvin Cook,Vikings,RB,245.0,1051.0,10.0,64.0,536.0,1.0,"Cook's career has thus far been marred by injuries, but we saw a glimpse of his ceiling during a breakout 2019 campaign. Through Week 14, Cook led the league in rushing touchdowns and trailed only Christian McCaffrey in fantasy points. Cook missed two games and chunks of others but still finished no lower than ninth among backs in carries, receptions, touches, scrimmage yards and touchdowns. Cook's 15 carries inside the 5 were third most in the league, and he scored at least one touchdown in 11 of 14 games. Cook has now missed 19 games because of injury in three seasons, but there's no doubt the 24-year-old is positioned well as run-heavy Minnesota's primary back. He's a strong RB1 despite the durability concerns."
5,Alvin Kamara,Saints,RB,194.0,876.0,8.0,78.0,600.0,3.0,"Kamara is coming off an up-and-down 2019 campaign, but the 24-year-old remains the main man in the New Orleans' backfield. Kamara missed a pair of games but otherwise played a similar role to 2018, handling 12.2 carries and 7.0 targets per game. Kamara ended the season with a YPC above 4.5 and exactly 81 catches for the third consecutive season. A lack of usage near the goal line (7.1 OTD, 6 TDs) limited his fantasy production, though he did finish strongly with four of those scores coming during Weeks 16-17. Kamara should have little trouble pushing for 20 touches per game in the Saints' Drew Brees-led, high-scoring offense. He remains a solid RB1."
6,Kenyan Drake,Cardinals,RB,210.0,979.0,9.0,53.0,399.0,2.0,"Drake received the transition tag from the Cardinals during the offseason and will return as the team's clear feature back. Traded from Miami to Arizona at the 2019 trade deadline, Drake went on to play 381 (79%) of 483 possible snaps during his eight games with the team. He handled 66% of the team's carries (15.4 per game) and 14% of the targets (4.4) during that span. That heavy usage allowed him the fourth-most fantasy points among RBs during that span. Arizona's offense should only improve in Kliff Kingsbury and Kyler Murray's second season, so Drake, who sports an impressive 4.8 career YPC, is very much in the RB1 discussion."
7,Derrick Henry,Titans,RB,288.0,1308.0,12.0,26.0,212.0,1.0,"Henry returns as the feature back in Tennessee after pacing the NFL in carries (303), rushing yards (1,540) and rushing touchdowns (16) in 2019. Henry has been an absolute force as a rusher, ranking no lower than third in YAC each of the past three seasons. His heavy recent workload is a concern, but the good news is that he's 25 years old and had not cleared 215 carries in a season prior to 2019. Henry's minimal workload as a receiver (career-high 18 receptions last season) will continue to limit his fantasy output, so coupled with a probable dip in rushing production, he should be valued as a back-end RB1."
8,Aaron Jones,Packers,RB,206.0,914.0,11.0,44.0,366.0,2.0,"It's fair to say Jones was finally 'freed' in 2019. Green Bay's lead back set career-high marks in nearly every category, exploding for 1,558 yards (seventh most among RBs) and a league-high 19 touchdowns from scrimmage. Jones posted more duds than you'd expect from a top fantasy back (five weekly finishes outside the top 30), but still managed the second-most points at the position. Jones is a near lock for major touchdown regression this season, as his 19 TDs were nearly double his 10.8 OTD. Still, his strong efficiency and role as lead back in the Packers' offense is enough to allow the 25-year-old Jones solid RB1 numbers."
9,Miles Sanders,Eagles,RB,243.0,1061.0,7.0,43.0,359.0,2.0,"It took a while for him to get rolling, but Sanders certainly took command of lead-back duties in Philadelphia during the second half of his rookie season. Sanders put down a solid 179-818-3 rushing line, but where he truly stood out was as a receiver. Sanders' 50-509-3 line was fueled by 8.2 yards per target, which was second best at the position. Sanders didn't play more than 53% of the snaps in a game until Week 11, but he finished 15th among backs in fantasy points. The 23-year-old is primed for a larger share of the workload behind the Eagles' elite offensive line in 2020. Consider him a strong RB2 with upside for more."
10,Austin Ekeler,Chargers,RB,163.0,715.0,4.0,64.0,606.0,3.0,"Ekeler received a contract extension, and former running mate Melvin Gordon is now in Denver, which locks in the former as the Chargers' lead back in 2020. Ekeler took his game to a new level last season, especially as a receiver, ranking no lower than second among backs in targets, receptions, yards and touchdowns. Despite Gordon playing a substantial role in 12 games, Ekeler was fantasy's No. 4 scoring back. Ekeler's small frame will limit his carries and goal-line work (he's never cleared 132 carries or three rushing touchdowns in a season), and he's unlikely to repeat a 91-992-8 receiving line with Tyrod Taylor and Justin Herbert under center. Expect a step back for Ekeler, though his role can still allow borderline RB1 production in PPR."
11,Nick Chubb,Browns,RB,270.0,1267.0,9.0,27.0,210.0,1.0,"Chubb has emerged as one of the league's most-effective rushers since being selected in the second round of the 2018 draft. He ranks first in YPC (5.1) and second in YAC (2.3) among 25 backs with at least 300 carries during that span. Chubb was fantasy's No. 8 scoring back in 2019, thanks to the fourth-most touches and second-most total yardage at the position. However, we can't ignore that Chubb's usage and fantasy production dipped once Kareem Hunt returned from suspension (RB6 before, RB15 after). Hunt will be in the mix from the get-go in 2020, which will certainly limit Chubb's output. Consider Chubb a borderline top-10 RB with more value in non-PPR leagues."
12,Josh Jacobs,Raiders,RB,256.0,1114.0,8.0,36.0,278.0,1.0,"Jacobs returns as the feature back for the Raiders following an extremely impressive rookie campaign. The 2019 first-round pick averaged a healthy 4.75 YPC on 242 attempts and ranked fourth among backs with a 2.25 YAC. Jacobs flashed with four top-10 fantasy weeks but missed three games because of injury, and his output was capped by a limited role as a receiver (27 targets). Coach Jon Gruden has consistently expressed a desire to target Jacobs more often, which adds some optimism that Jacobs can become a workhorse back. Of course, until that actually happens, the 22-year-old is best valued as a fringe top-12 fantasy back."
13,Joe Mixon,Bengals,RB,269.0,1148.0,6.0,38.0,293.0,1.0,"Mixon enters his fourth NFL season as the clear feature back in Cincinnati. The role has allowed Mixon a top-seven finish in touches, top-11 finish in yards and eight-plus touchdowns each of the past two seasons. Despite the heavy usage, a limited role as a pass-catcher has left Mixon with fantasy finishes of 10th and 13th during that span. Mixon is one of the game's better talents at the position, but the Cincinnati offensive line remains a work in progress and his target share is unlikely to see a significant boost with A.J. Green back, Tee Higgins drafted and Giovani Bernard still in the fold. Consider Mixon a borderline top-10 RB."
14,Chris Carson,Seahawks,RB,249.0,1078.0,7.0,36.0,270.0,2.0,"Carson put together another solid season as Seattle's lead back in 2019 and returns atop the depth chart for 2020. The 2017 seventh-round pick has missed a total of three games over the past two seasons but finished fifth in rushing yards during both campaigns. Carson has been of value near the goal line (18 touchdowns) and in terms of efficiency (2.26 YAC is fourth best) during that span. Seattle ramped up Carson's passing-game workload last season, which gives him a better shot at his third-consecutive top-15 fantasy campaign, but the 25-year-old will need to fend off Rashaad Penny and rookie DeeJay Dallas for snaps. Consider Carson a fine RB2 target."
15,Todd Gurley II,Falcons,RB,211.0,856.0,7.0,45.0,373.0,2.0,"Gurley is now the lead back in Atlanta following five seasons with the Rams. The Georgia product was a top-three fantasy RB in both 2017 and 2018, but he handled a lesser workload and struggled badly with efficiency in 2019 while dealing with knee and ankle concerns. After averaging 4.89 YPC (2.11 YAC) on 256 carries and 7.4 yards per target on 78 targets in 14 games in 2018, Gurley's numbers plummeted to 3.84 YPC (1.81 YAC) on 223 carries and 4.2 YPT on 49 targets in 15 games last season. Gurley still managed a 14th-place finish in fantasy points (his fifth top-15 in as many tries), thanks to 14 touchdowns. Gurley's durability is a big concern, but he has little competition for touches in a good offense. He's a fine RB2 target."
