id,name,sacks,interceptions,fumbles,tds,outlook
1,Steelers D/ST,44,13,12,3,"Following a rough start to the 2019 season, Pittsburgh's D/ST went on to finish second in fantasy points, marking the unit's fourth top-eight finish over the past five seasons. Pittsburgh was a big-play machine, ranking no worse than fifth in forced turnovers, yardage allowed and points allowed, as well as first in sacks for the third consecutive season. Other than Javon Hargrave, the entire 2019 defensive core is set to return for 2020. The likes of T.J. Watt, Cameron Heyward and Minkah Fitzpatrick provide this unit with plenty of star power, and youngsters Devin Bush and Terrell Edmunds could add to it this season. The Steelers' D/ST should be one of the first off the board during your draft."
2,Bills D/ST,41,13,11,3,"Yet another strong performance from Sean McDermott's defense helped the Bills' D/ST to a second-consecutive top-seven fantasy season in 2019. Buffalo ranked no worse than eighth in interceptions, forced fumbles and points allowed, and was top-three in yardage allowed for the second consecutive season. While Lorenzo Alexander (retirement) will be missed, the Buffalo defense is arguably better after adding Quinton Jefferson, Mario Addison and Josh Norman. Led by the likes of Tre'Davious White, Jordan Poyer, Micah Hyde, Jerry Hughes and emerging youngsters Ed Oliver and Tremaine Edmunds, the Bills' D/ST is arguably your best option in fantasy."
3,49ers D/ST,44,13,13,3,"After four consecutive seasons finishing 29th or worse, the 49ers' D/ST climbed all the way up to third during a breakout 2019. San Francisco ranked no lower than fifth in forced fumbles, sacks, yardage allowed, points allowed and D/ST touchdowns. Trading away arguably their best player in DeForest Buckner is a big loss for the 49ers, but the good news is that the rest of the team's 2019 core remains in place. Nick Bosa, Arik Armstead, Richard Sherman and Jimmie Ward provide the star power, with Kwon Alexander and Dee Ford likely to bring more to the table at full health this season. The 49ers' D/ST remains a top fantasy option."
4,Colts D/ST,42,11,10,3,"The Colts' D/ST has finished 13th in fantasy points each of the past two seasons, but the unit is trending up following the offseason acquisition of star DT DeForest Buckner. The former 49ers standout should help generate pressure for a unit that has finished top 10 in interceptions each of the past two seasons, but 15th or worse in sacks each of the past five seasons. The Indianapolis defense otherwise saw only minor offseason turnover and returns a unit led by Buckner, Justin Houston, Darius Leonard, Kenny Moore and Malik Hooker. As an added bonus, Nyheim Hines was responsible for two of the league's seven punt return touchdowns last season. Consider the Colts' D/ST a midrange starting unit."
5,Patriots D/ST,41,14,8,2,"The Patriots were the top-scoring fantasy D/ST by a massive 34 points last season. No D/ST has finished No. 1 in the category in back-to-back seasons over the past decade, but New England has been very reliable under Bill Belichick, ranking in the top 10 seven of the past eight seasons. Last season's unit was incredible, ranking first or second in INTs, yardage allowed, points allowed, D/ST touchdowns and forced turnovers. Though we should expect another solid campaign, keep in mind that the Patriots already regressed from their early 2019 dominance, ranking as the No. 12 D/ST from Week 9 on. The unit also had a rough offseason, losing and not completely replacing key performers Kyle Van Noy, Jamie Collins, Duron Harmon and Danny Shelton. A stacked secondary led by Stephon Gilmore and Devin McCourty remains in place, but we should expect a return to midrange starter production from this unit in 2020."
6,Ravens D/ST,42,14,10,2,"The Ravens lost a ton of top-end talent during the 2019 free-agency period and it showed early, but quality coaching and a few in-season transactions turned things around and allowed their D/ST a third consecutive top-four fantasy season. Baltimore ranked fourth in yardage allowed, third in points allowed and second in D/ST touchdowns, with six. The 2020 offseason brought another exodus of key defenders, including Brandon Carr, Michael Pierce and Patrick Onwuasor, but the additions of Calais Campbell, Derek Wolfe and first-round pick Patrick Queen, as well as the return of Tavon Young to a loaded secondary, sets this unit up for another strong campaign. Consider the Ravens' D/ST a solid starting option."
7,Broncos D/ST,39,13,8,2,"The Broncos' D/ST has finished in the upper half of the league in fantasy points eight of the past nine seasons and, though 2019 was the exception, there is reason for optimism that Vic Fangio's unit will make a leap in 2020. Denver struggled with big plays last season (27th in forced turnovers and one touchdown), but ranked 12th or better in both yardage and points allowed. The offseason additions of Jurrell Casey and A.J. Bouye, as well as a return to health for Bradley Chubb and Bryce Callahan, more than offset the losses of Chris Harris and Derek Wolfe. Add that to a core that includes Von Miller, Justin Simmons, Kareem Jackson and unheralded AJ Johnson, and the Denver D/ST has the look of a fantasy starter in 2020."
8,Saints D/ST,42,13,10,3,"The Saints' D/ST finished eighth in fantasy points last season and has now produced a pair of top-10 campaigns over the past three seasons. New Orleans has finished top five in sacks each of the past two seasons and came in average or better in interceptions, forced turnovers, yardage allowed and points allowed during both campaigns. The team's offseason departures (Vonn Bell, Eli Apple and A.J. Klein) all have replacements (Malcolm Jenkins, Janoris Jenkins and Alex Anzalone, respectively), and literally every other defender who played at least 32 snaps last season remains on the roster. With Cameron Jordan, Demario Davis, Marshon Lattimore, Marcus Williams and Sheldon Rankins also in the fold, the Saints' D/ST is a starting-caliber unit with big upside."
9,Bears D/ST,39,11,11,3,"One season after dominating the NFL with 55 more fantasy points than any other D/ST, Chicago plummeted to 15th in 2019. The Bears fell from a league-high 11 top-10 fantasy weeks in 2018 to three (24th) in 2019. Chicago was still solid in terms of yardage (eighth) and points (fifth) allowed, but plummeted from first to 22nd in forced turnovers and third to 24th in sacks. On the plus side, impact KR Cordarrelle Patterson scored his fifth return touchdown in as many seasons. The Bears lost three of their top six and seven of their top 12 defenders in terms of snaps during the offseason, including Ha Ha Clinton-Dix, Leonard Floyd and Prince Amukamara. The addition of Robert Quinn and return of Akiem Hicks will help, but, even with the likes of Khalil Mack, Eddie Jackson, Danny Trevathan and Kyle Fuller, this unit isn't nearly as intimidating as it was in 2018. Consider it a back-end starting option."
10,Vikings D/ST,39,13,11,3,"The Minnesota D/ST posted its second consecutive fifth-place fantasy campaign last season and has now finished no lower than 11th over the past five seasons. Minnesota has finished top seven in points allowed each of the past five seasons, top five in sacks each of the past two seasons and was top five in both interceptions and forced fumbles in 2019. Despite the success, it's fair to expect a step back in 2020 following the departures of Everson Griffen, Linval Joseph and literally all three of the team's top three corners from 2019. The addition of Michael Pierce helps, and star power remains in the form of Danielle Hunter, Eric Kendricks, Harrison Smith and Anthony Harris, but unproven cornerbacks and overall depth are major red flags. Consider the Minnesota D/ST a borderline fantasy starter."
