id,name,team,position,completions,attempts,passing_yards,tds,interceptions,carries,rushing_yards,rushing_tds,outlook
1,Lamar Jackson,Ravens,QB,296.0,465.0,3425.0,25.0,10.0,156.0,902.0,6.0,"The 2019 NFL MVP is fresh off a breakout season in which he outscored the next-closest quarterback by 78 fantasy points despite resting in Week 17. The dual-threat weapon threw 36 touchdowns to only six interceptions while adding a record-setting 176-1,206-7 rushing line -- that rushing production alone would've ranked 28th among running backs. The question is: Can he do it again? History says no, as his 9.0% TD rate (highest the NFL has seen over the past decade) is unsustainable, and the last quarterback to repeat as the top-scoring fantasy QB was Daunte Culpepper in 2004. On the other hand, Jackson's rushing volume and prowess give him an extremely high floor, as shown by his 11 top-six fantasy weeks in 15 outings last season. Jackson's unique style makes him an elite fantasy weapon and worth a look early in Round 3."
2,Patrick Mahomes,Chiefs,QB,364.0,557.0,4465.0,32.0,10.0,61.0,280.0,3.0,"Patrick Mahomes is 24 years old and has 36 NFL starts under his belt yet has already been named both league and Super Bowl MVP. So where does he go from here? Well, considering he still has Andy Reid's pass-heavy scheme, a strong offensive line and a terrific group of targets led by Tyreek Hill and Travis Kelce at his disposal, we should probably expect more of the same. Granted, Mahomes returned to earth a bit last season (4,031 passing yards, 28 total TDs) after his breakout 2018 campaign (5,097 yards, 52 TDs), but he was still unquestionably one of the best players in the league. Mahomes was fantasy's No. 3 scoring QB during the 13 weeks he played in full, and that doesn't even count his 12 touchdowns in three playoff games. Mahomes remains an elite fantasy option."
3,Deshaun Watson,Texans,QB,337.0,517.0,4018.0,27.0,12.0,87.0,519.0,4.0,"Watson enters his fourth NFL season fresh off back-to-back fourth-place finishes in fantasy. The 24-year-old has emerged as one of the game's best players, ranking no lower than eighth in completion percentage and 13th in yards per attempt in each of the past two seasons. Watson has yet to clear 26 passing touchdowns in a season, but he makes up a ton of ground with his legs, ranking top-four in rushing attempts, yards and touchdowns in each of the past two seasons. The elephant in the room is the loss of top weapon DeAndre Hopkins, though it's worth noting that Watson has averaged a strong 9.2 YPA to wide receivers other than Hopkins in his career. Watson remains a solid fantasy starter."
4,Dak Prescott,Cowboys,QB,350.0,543.0,4280.0,27.0,11.0,49.0,248.0,4.0,"Prescott will be back under center for Dallas following his best professional season in 2019. Prescott ranked no lower than sixth among quarterbacks in pass attempts (596), completions (388), passing yardage (4,902), passing touchdowns (30), yards per pass attempt (8.2) and average depth of throw (9.4) -- all while dealing with a league-high 30 drops. Also a factor as a rusher (52-277-3), Prescott finished a career-best second at the position in fantasy points. Armed with a terrific line, as well as WRs Amari Cooper, Michael Gallup and CeeDee Lamb, Prescott should be considered a solid QB1 option."
5,Russell Wilson,Seahawks,QB,300.0,473.0,3692.0,29.0,9.0,73.0,397.0,2.0,"The 2019 season was a tale of two halves for Wilson. He was the top-scoring fantasy QB through Week 6 but was held to three top-12 weeks and the 11th-most points the rest of the season. At the end of the day, he had his eighth top-11 fantasy campaign in as many tries, which includes four top-three seasons since 2014. Wilson remains a force with his legs (he's ranked no lower than ninth among QBs in rushing yards in his career), but he's also ranked top-three in passing touchdowns (33.3 per season) in each of the past three seasons. With Tyler Lockett, second-year receiver DK Metcalf and newcomer Greg Olsen at his disposal, the 31-year-old Wilson remains a solid QB1."
6,Kyler Murray,Cardinals,QB,349.0,544.0,3819.0,26.0,12.0,87.0,469.0,3.0,"Murray's rookie season had its ups and downs, which is exactly what you'd expect from a first-year starting quarterback. The 2019 first overall pick struggled to 6.9 YPA and took a league-high 48 sacks, but he also finished strong by leading the Arizona offense to three-plus touchdowns in eight of the team's final 11 games. Murray's rushing ability helped him to a 93-544-4 rushing line (top-four in all three categories) and an eighth-place finish in fantasy points. Murray was already a strong bet for a second-year leap, but the addition of DeAndre Hopkins further adds to his appeal. The hype might lead to an irresponsible ADP, but there's little doubt Murray has elite upside. He's a solid fantasy starter."
7,Tom Brady,Buccaneers,QB,361.0,575.0,4455.0,31.0,9.0,24.0,27.0,2.0,"In case you were living under a rock during the offseason, Tom Brady is now on the Buccaneers. The 43-year-old hasn't been much of a fantasy force in recent seasons, having finished 12th or worse among QBs in fantasy points in three of the past four seasons and four of the past seven. He's also coming off arguably his worst professional season (24 pass TDs, 61% completion rate, 6.6 YPA). Of course, there's plenty of reason to expect a bounce-back in Tampa, as his top targets go from Julian Edelman, James White and Mohamed Sanu to Mike Evans, Chris Godwin and old friend Rob Gronkowski. Brady adds very little with his legs but avoids turnovers and figures to push the ball downfield more in Bruce Arians' high-volume, pass-first attack. Consider the GOAT a back-end QB1."
8,Matt Ryan,Falcons,QB,390.0,600.0,4533.0,28.0,12.0,32.0,125.0,1.0,"Ryan's bizarre roller-coaster career continued in 2019, as his 11th-place fantasy campaign means he has finished outside the top 10 QBs in fantasy points during odd years and no lower than seventh in even years, going all the way back to 2012. In Ryan's defense, he missed a game (his first since 2009) and still played well, ranking top-nine in completion percentage for the eighth consecutive season. Ryan also paced all QBs in completions (408) and finished top-six in passing yards for the 10th straight season. Operating in Dirk Koetter's high-volume offense with Julio Jones, Calvin Ridley, Todd Gurley and five first-round picks on the offensive line, Ryan has a high floor and is a fringe QB1."
9,Matthew Stafford,Lions,QB,344.0,539.0,4213.0,27.0,11.0,33.0,123.0,1.0,"Stafford missed half of the 2019 season due to injury, but don't let that overshadow what was otherwise a very strong campaign. The Lions' offense scored 21 touchdowns during his eight starts (2.6 per game; 1.8 per game in the other eight), and Stafford finished 62.5% (five of eight) of his starts as a top-10 fantasy QB, which was the position's fourth-best rate. Powered by a league-high 10.8 aDOT (average depth of target), Stafford's career-high 8.6 YPA was second best in the league. Prior to last season, the 32-year-old had not missed a game since 2010, and he is well-positioned behind a solid line and with Kenny Golladay, Marvin Jones Jr. and second-year TE T.J. Hockenson as his primary weapons. Consider Stafford a strong QB2."
10,Carson Wentz,Eagles,QB,337.0,527.0,3801.0,27.0,9.0,54.0,213.0,2.0,"Despite his wide receiver room being absolutely ravaged by injuries, Wentz posted his second career top-10 fantasy campaign in 2019. Volume was the primary reason, as the 27-year-old ranked first in snaps, fifth in pass attempts and seventh in carries among QBs. Wentz dealt with 24 drops (third most) and got very little after the catch for the fourth consecutive season (4.8 RAC). Perhaps most important, Wentz held up, handling 99% of the Eagles' dropbacks before a concussion suffered in the playoffs. Wentz will work behind an elite offensive line and with a solid group of weapons in 2020. He's a back-end QB1."
11,Drew Brees,Saints,QB,363.0,518.0,4011.0,30.0,9.0,20.0,11.0,1.0,"Brees missed six games due to injury last season and also ceded occasional snaps to Taysom Hill. The future Hall of Famer was still fantasy's No. 2 scoring QB during the 10 weeks he was active, producing 28 touchdowns and only three interceptions. Brees continues to win with elite efficiency, having paced the NFL in completion percentage in each of the past three seasons while ranking no lower than 10th in YPA during that span. Brees' supporting cast is arguably better this season, with Emmanuel Sanders added to a group that includes Michael Thomas, Jared Cook, Alvin Kamara and a quality line. Now 41, Brees is a back-end QB1."
12,Josh Allen,Bills,QB,291.0,483.0,3414.0,18.0,11.0,96.0,545.0,5.0,"Allen is the perfect example of why rushing is so important when it comes to QB fantasy evaluations. The 2018 first-round pick finished as fantasy's No. 6 QB last season despite ranking 23rd in passing yards, 21st with only 20 passing TDs, third worst in completion percentage (59%) and 11th worst in YPA (6.7). Of course, Allen also produced a 109-510-9 rushing line and has now paced the position in rushing TDs in each of his two NFL seasons (17 total). Allen's passing troubles remain a red flag, but the addition of Stefon Diggs should help his cause. As long as he keeps running, Allen will be a back-end QB1 option."
13,Aaron Rodgers,Packers,QB,333.0,528.0,3820.0,26.0,8.0,43.0,206.0,1.0,"Once a perennial top-two fantasy QB, Rodgers has settled in as more of a mid-to-back-end QB1 in recent seasons. That included 2019, which saw him finish ninth in fantasy points even though he appeared in all 16 games and ranked eighth in pass attempts. Rodgers' efficiency has been a culprit, as he hasn't finished better than 16th in YPA since 2014 after previously dominating the category. He also hasn't cleared 26 pass TDs in a season since 2016 and is no longer much of a factor with his legs. Rodgers has Davante Adams, Aaron Jones and a solid line at his disposal, but the 36-year-old is no longer an elite fantasy weapon."
14,Daniel Jones,Giants,QB,339.0,536.0,3718.0,25.0,13.0,52.0,267.0,2.0,"Jones was in and out of the lineup during his rookie campaign, but the 2019 sixth overall pick certainly made an impact when on the field. During 12 starts, Jones paced all rookie QBs with 24 pass TDs and was fifth in fantasy points. Jones' efficiency wasn't good (62% completion rate, 6.6 YPA), but inconsistency is common for rookie passers. Despite the Giants' top targets playing zero games together due to injury, the New York offense ranked 13th in touchdowns during Jones' rookie campaign. Jones is armed with a solid supporting cast and adds value with his legs (he ranked seventh in rushing yards as a rookie). Consider him a fringe top-12 QB and a breakout candidate."
15,Jared Goff,Rams,QB,369.0,578.0,4280.0,22.0,13.0,31.0,64.0,2.0,"The Rams' offense took a step back last season, but heavy volume allowed Goff to make occasional noise in fantasy. Goff finished top-five in pass attempts, completions and yards, which helped him to seven top-10 fantasy weeks (fifth most). The 2016 first overall pick has finished 12th, seventh and 13th in fantasy points during Sean McVay's three seasons. He adds very little with his legs (40 rushing yards last season) but still manages to hang in as a streaming option thanks to McVay. In 2020, Goff will have a strong group of targets led by Robert Woods, Tyler Higbee and Cooper Kupp, though the Rams' line remains a concern. Consider Goff a midrange QB2."
16,Ben Roethlisberger,Steelers,QB,339.0,529.0,3867.0,25.0,12.0,27.0,73.0,1.0,"Roethlisberger is back in Pittsburgh after missing all but two games due to injury last season. The last time we saw Roethlisberger for a full season, the Steelers' offense set a franchise record with 51 touchdowns in 2018. Roethlisberger paced the NFL in dropbacks (712), attempts (675) and completions (452), while finishing top-five in passing yards (5,086), passing touchdowns (34) and fantasy points (342) that season. The 38-year-old finished eighth or better in fantasy points per game in five straight seasons prior to 2019. Roethlisberger adds little with his legs, but he has a good line, an intriguing WR trio led by JuJu Smith-Schuster, and newcomer TE Eric Ebron in the fold. Consider Big Ben a top-15 option with QB1 upside."
